cell_a,cell_b,weight,len
114,454,0.6,46.45244098636371
114,625,0.6,42.22529238971712
114,640,0.6,54.00772443642021
115,152,1.0,40.32978701109438
115,184,1.0,49.038364120160715
115,436,0.6,32.85834669001487
115,555,0.6,69.0659670745411
116,122,1.0,58.14936605103756
116,145,1.0,54.405150435001204
116,225,1.0,50.66038358805265
116,618,0.6,71.34620119019638
116,622,0.6,50.99669541464007
117,183,1.0,49.36774019790381
117,248,0.6,71.99676478186703
117,260,0.6,45.737381863620925
118,219,1.0,50.70619727320199
118,285,1.0,74.47192182348842
118,343,0.6,59.55776301570061
118,348,0.6,80.32388107036049
119,127,1.0,71.05674445528594
119,134,1.0,71.91096398253477
119,164,1.0,99.19059731021767
119,177,1.0,54.92880635839614
119,213,1.0,79.93777252983071
119,230,1.0,69.95184599653841
120,515,0.6,49.217633833139395
121,214,1.0,63.78462825230599
121,242,1.0,75.74722636891005
121,245,1.0,95.11567373942029
121,604,0.6,100.11447967601661
121,633,0.6,99.32143273698429
122,196,1.0,67.49475787122394
122,280,0.6,59.066690919167016
122,622,0.6,57.46077311953783
123,132,1.0,64.87172907990585
123,171,1.0,81.58757564086497
123,185,1.0,73.89903286545392
123,227,1.0,84.83623208814967
123,243,1.0,69.87816865601366
124,130,1.0,51.9045632906314
124,232,1.0,67.06849342305699
124,241,1.0,77.53629306536651
124,271,0.6,44.3181020513009
124,466,0.6,48.08126357779236
124,490,0.6,45.28857527841064
126,205,1.0,51.01514747644522
126,208,1.0,54.36612385042544
126,267,0.6,51.65112491948582
126,269,0.6,57.550040166691325
126,281,0.6,73.18658222792864
127,166,1.0,98.53627584995384
127,177,1.0,49.28542403886474
127,213,1.0,79.37462659421031
127,233,1.0,65.50319167720602
127,241,1.0,92.27475944879433
129,133,1.0,41.414247718444535
129,187,1.0,90.1387369574639
129,531,0.6,73.22114805479218
129,532,0.6,58.14938182985639
129,535,0.6,74.6752779726382
130,134,1.0,76.12003465213822
130,177,1.0,88.43723049794828
130,241,1.0,70.57257135162448
130,411,0.6,52.26743163015054
130,466,0.6,44.02945665066992
130,476,0.6,60.77524171428268
131,154,1.0,64.89009478961097
131,164,1.0,59.42134067005374
131,213,1.0,94.52791856424707
131,520,0.6,59.30672107730165
131,539,0.6,52.08950622195765
132,154,1.0,88.99470258759092
132,155,1.0,65.61843063985008
132,167,1.0,47.706286835744955
132,185,1.0,67.79113743060553
133,475,0.6,71.59279083954146
133,535,0.6,80.24770764943892
134,177,1.0,47.59033998731421
134,182,1.0,76.9516308557239
134,190,1.0,80.53149023150995
134,230,1.0,102.50919427687163
134,476,0.6,85.45552649629674
135,178,1.0,57.38070011097495
135,186,1.0,60.02818556982258
135,522,0.6,52.16305757762171
136,180,1.0,59.844768584249636
136,220,1.0,56.79228575752474
137,154,1.0,78.40613185195829
137,155,1.0,91.8752953828553
137,164,1.0,50.94959875840944
137,167,1.0,47.95984842803741
137,230,1.0,52.24234017221785
138,183,1.0,80.39846692129979
138,202,1.0,67.27848695758229
138,210,1.0,46.19172549304166
138,222,1.0,76.60588479009046
138,478,0.6,80.3105803659049
138,501,0.6,95.5394583340685
140,148,1.0,73.49573055361387
140,175,1.0,99.48148588579399
140,253,0.6,61.133938170115975
140,654,0.6,67.87412777792858
